date,CRC_China_USD_ton,Iron_Ore_USD_ton,Sea_Freight_USD_ton,USD_BRL_buy,USD_CNY
2/26/2024,561,113.89,2315,4.9813,7.1972
3/11/2024,553,109.61,2315,4.9771,7.182
3/25/2024,535,106.05,3265,4.9863,7.2102
4/8/2024,529,110.16,3265,5.0415,7.2305
4/22/2024,520,106.55,4815,5.2037,7.2403
5/13/2024,526,117.02,4815,5.1406,7.2325
5/27/2024,515,117.52,6464,5.1698,7.2425
6/10/2024,509,107.33,6464,5.366,7.2475
6/24/2024,510,106.51,7464,5.3994,7.2586
7/8/2024,495,109.58,7464,5.4714,7.2683
7/22/2024,485,106.86,9715,5.5592,7.2736
8/12/2024,467,97.81,9715,5.4905,7.1744
8/26/2024,455,98.7,8081,5.4915,7.1212
9/9/2024,447,92.26,8081,5.6091,7.1133
9/23/2024,451,92.98,7700,5.544,7.0508
10/14/2024,519,105.37,7700,5.6039,7.0667
10/28/2024,497,102.49,6800,5.6982,7.1254
11/11/2024,499,101.63,6800,5.7974,7.1785
11/25/2024,489,102.44,5600,5.7996,7.2395
12/9/2024,492,105.31,5600,6.0564,7.2604
12/23/2024,501,103.9,5600,6.1606,7.2977
1/13/2025,489,101.21,3700,6.1073,7.3319
1/27/2025,501,101.59,3700,5.9266,7.2507
2/10/2025,492,106.83,3200,5.7802,7.3045
2/24/2025,494,106.9,3200,5.7252,7.2476
3/10/2025,491,102.85,2000,5.7924,7.2591
3/24/2025,486,102.43,2000,5.7397,7.2531
4/14/2025,475,100.05,1400,5.8419,7.3119
4/28/2025,469,98.19,1400,5.6675,7.2942
5/12/2025,458,100.08,2100,5.6816,7.2018
5/26/2025,455,99.12,2100,5.6613,7.1798
6/9/2025,445,95.38,5250,5.5754,7.1802
6/23/2025,442,94.49,5250,5.5207,7.179
7/14/2025,449,97.22,6400,5.5589,7.167
7/28/2025,474,99.57,6400,5.5871,7.1778
8/11/2025,470,101.59,3550,5.4467,7.1884
8/25/2025,473,101.81,3550,5.4168,7.151
9/8/2025,473,105.43,2400,5.4272,7.1293
9/22/2025,489,105.44,2400,5.3451,7.114
10/13/2025,487,105.35,2950,5.4623,7.134
10/27/2025,418,105.57,2950,5.3738,7.1102
11/10/2025,416,103.97,1743,5.3175,7.1193
11/24/2025,414,104.42,1743,5.3942,7.102
12/8/2025,416,106.42,1325,5.4243,7.071
12/22/2025,416,106.94,1325,5.5383,7.0367
